output_x,output_y,output_z,time
-2.5,-1.18,0.35,5042
-2.5,-1.18,0.28,5069
-2.57,-1.11,0.28,5096
-2.57,-1.18,0.28,5124
-2.57,-0.97,0.28,5150
-2.57,-1.04,0.28,5177
-2.64,-1.04,0.28,5204
-2.64,-1.04,0.35,5231
-2.64,-1.11,0.35,5259
-2.57,-1.04,0.28,5285
-2.57,-1.11,0.35,5312
-2.64,-1.11,0.28,5340
-2.5,-1.04,0.28,5366
-2.57,-1.18,0.35,5394
-2.57,-1.11,0.35,5421
-2.64,-1.11,0.28,5447
-2.57,-1.11,0.35,5475
-2.64,-1.11,0.28,5501
-2.57,-1.11,0.28,5529
-2.5,-1.04,0.35,5556
-2.57,-1.04,0.35,5583
-2.71,-1.11,0.28,5610
-2.57,-1.11,0.35,5637
-2.64,-1.11,0.28,5664
-2.64,-1.11,0.28,5691
-2.57,-1.04,0.21,5719
-2.57,-1.11,0.28,5745
-2.64,-1.11,0.35,5772
-2.57,-1.11,0.28,5799
-2.57,-1.04,0.28,5826
-2.57,-1.04,0.35,5854
-2.57,-1.04,0.35,5880
-2.57,-1.04,0.35,5907
-2.64,-1.11,0.28,5935
-2.64,-1.04,0.35,5961
-2.64,-1.11,0.28,5989
-2.64,-1.11,0.35,6016
-2.57,-1.18,0.35,6042
-2.64,-1.04,0.21,6070
-2.64,-1.11,0.28,6096
-2.57,-1.11,0.28,6124
-2.43,-1.11,0.35,6151
-2.57,-1.11,0.35,6177
-2.64,-1.11,0.28,6205
-2.57,-1.18,0.35,6232
-2.5,-1.11,0.21,6259
-2.64,-1.11,0.35,6286
-2.64,-1.04,0.28,6312
-2.64,-1.04,0.35,6340
-2.5,-1.04,0.35,6367
-2.64,-0.97,0.35,6394
-2.57,-1.11,0.35,6421
-2.57,-1.11,0.35,6448
-2.57,-1.04,0.42,6475
-2.64,-1.04,0.28,6502
-2.64,-1.18,0.28,6530
-2.64,-1.04,0.28,6556
-2.64,-1.04,0.28,6584
-2.57,-1.11,0.42,6610
-2.57,-1.04,0.35,6637
-2.57,-1.11,0.28,6665
-2.71,-1.11,0.42,6691
-2.64,-1.04,0.21,6719
-2.5,-1.11,0.35,6746
-2.5,-1.11,0.35,6772
-2.64,-1.18,0.28,6800
-2.57,-1.11,0.35,6827
-2.57,-1.04,0.35,6854
-2.64,-1.11,0.35,6881
-2.57,-1.04,0.42,6907
-2.64,-1.04,0.28,6935
-2.57,-1.11,0.28,6962
-2.57,-1.18,0.42,6989
-2.57,-1.11,0.35,7016
-2.71,-1.11,0.28,7043
-2.64,-1.11,0.42,7070
-2.57,-1.04,0.35,7097
-2.64,-1.18,0.28,7124
-2.57,-1.11,0.35,7151
-2.57,-0.97,0.21,7178
-2.64,-1.11,0.28,7205
-2.57,-1.04,0.28,7232
-2.64,-1.04,0.35,7260
-2.57,-1.11,0.42,7286
-2.64,-1.11,0.35,7313
-2.5,-1.11,0.21,7341
-2.64,-0.97,0.42,7367
-2.64,-1.11,0.21,7395
-2.57,-1.04,0.28,7421
-2.64,-1.11,0.35,7449
-2.57,-1.04,0.35,7476
-2.5,-1.11,0.35,7502
-2.57,-1.11,0.28,7530
-2.57,-1.11,0.28,7557
-2.5,-1.11,0.35,7584
-2.64,-1.04,0.28,7611
-2.57,-1.04,0.35,7638
-2.57,-1.11,0.28,7665
-2.5,-1.11,0.35,7692
-2.5,-1.11,0.28,7719
-2.5,-1.11,0.28,7746
-2.57,-1.04,0.42,7773
-2.57,-1.04,0.28,7800
-2.64,-1.18,0.28,7827
-2.5,-1.11,0.28,7855
-2.57,-1.11,0.28,7881
-2.64,-1.11,0.28,7908
-2.57,-1.04,0.35,7936
-2.71,-1.04,0.35,7962
-2.64,-1.18,0.28,7990
-2.64,-1.11,0.28,8016
-2.57,-1.04,0.35,8043
-2.57,-1.18,0.28,8071
-2.57,-1.18,0.35,8097
-2.64,-1.11,0.35,8125
-2.57,-1.04,0.21,8152
-2.64,-1.11,0.35,8179
-2.57,-1.18,0.35,8206
-2.57,-1.18,0.35,8232
-2.57,-1.04,0.35,8260
-2.64,-1.11,0.28,8287
-2.5,-1.11,0.35,8314
-2.57,-1.04,0.28,8341
-2.64,-1.11,0.21,8368
-2.57,-1.11,0.35,8395
-2.64,-1.04,0.28,8422
-2.64,-1.18,0.28,8450
-2.64,-1.11,0.35,8476
-2.5,-1.04,0.35,8503
-2.57,-0.97,0.28,8530
-2.57,-1.04,0.35,8557
-2.57,-0.97,0.28,8585
-2.57,-1.11,0.35,8611
-2.64,-1.04,0.35,8638
-2.57,-1.11,0.28,8666
-2.57,-1.04,0.35,8692
-2.64,-1.04,0.28,8720
-2.57,-1.11,0.28,8747
-2.57,-1.18,0.35,8773
-2.64,-1.11,0.35,8801
-2.57,-1.04,0.42,8827
-2.57,-1.11,0.35,8855
-2.57,-1.11,0.28,8882
-2.64,-1.18,0.35,8908
-2.57,-1.11,0.35,8936
-2.57,-1.04,0.28,8963
-2.5,-1.04,0.35,8990
-2.71,-1.04,0.35,9017
-2.5,-1.11,0.35,9043
-2.57,-1.11,0.35,9071
-2.57,-1.11,0.35,9098
-2.57,-1.04,0.35,9125
-2.5,-1.11,0.28,9152
-2.5,-1.04,0.28,9180
-2.64,-1.11,0.28,9206
-2.64,-1.11,0.35,9233
-2.64,-1.11,0.35,9261
-2.57,-1.04,0.28,9287
-2.64,-1.11,0.28,9315
-2.64,-1.04,0.35,9341
-2.57,-1.18,0.35,9368
-2.64,-1.18,0.35,9396
-2.57,-1.11,0.35,9422
-2.57,-1.18,0.35,9450
-2.57,-1.11,0.28,9477
-2.64,-1.04,0.35,9503
-2.5,-1.11,0.35,9531
-2.64,-1.11,0.42,9558
-2.57,-1.11,0.35,9585
-2.57,-1.11,0.21,9612
-2.57,-1.11,0.35,9638
-2.5,-1.18,0.35,9666
-2.64,-1.18,0.35,9693
-2.64,-1.18,0.35,9720
-2.64,-1.04,0.28,9747
-2.64,-1.04,0.21,9774
-2.64,-1.11,0.35,9801
-2.71,-1.11,0.28,9828
-2.64,-1.04,0.42,9856
-2.64,-1.11,0.35,9882
-2.64,-1.11,0.35,9909
-2.57,-1.11,0.35,9936
-2.57,-1.11,0.35,9963
-2.57,-1.11,0.28,9991
-2.57,-1.11,0.35,10017
-2.64,-1.11,0.28,10046
-2.57,-1.11,0.42,10074
-2.5,-1.11,0.28,10101
-2.64,-1.11,0.28,10130
-2.64,-1.11,0.35,10158
-2.64,-1.11,0.21,10186
-2.57,-1.04,0.28,10214
-2.71,-0.97,0.21,10242
-2.71,-1.11,0.28,10270
-2.64,-0.97,0.28,10298
